Year,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,DepDelay,DepDelayMinutes,DepDel15,TaxiOut,TaxiIn,ArrDelay,ArrDelayMinutes,ArrDel15,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,MonthName,IsDelayed,DelayCategory,SpeedMph,TotalGround
2024,4,30,2,2024-04-30,UA,IAH,"Houston, TX",TX,RIC,"Richmond, VA",VA,-3.0,0.0,0.0,19.0,6.0,-6.0,0.0,0.0,0.0,,0.0,173.0,170.0,145.0,1157.0,5,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,478.76,25.0
2024,2,18,7,2024-02-18,WN,SAN,"San Diego, CA",CA,DEN,"Denver, CO",CO,32.0,32.0,1.0,12.0,7.0,13.0,13.0,0.0,0.0,,0.0,140.0,121.0,102.0,853.0,4,0.0,0.0,0.0,0.0,0.0,February,0,Minor Delay,501.76,19.0
2024,2,13,2,2024-02-13,DL,ATL,"Atlanta, GA",GA,OMA,"Omaha, NE",NE,-4.0,0.0,0.0,17.0,3.0,-7.0,0.0,0.0,0.0,,0.0,151.0,148.0,128.0,821.0,4,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,384.84,20.0
2024,2,8,4,2024-02-08,WN,SJC,"San Jose, CA",CA,BUR,"Burbank, CA",CA,1.0,1.0,0.0,11.0,1.0,-10.0,0.0,0.0,0.0,,0.0,70.0,59.0,47.0,296.0,2,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,377.87,12.0
2024,2,9,5,2024-02-09,WN,BWI,"Baltimore, MD",MD,MCO,"Orlando, FL",FL,13.0,13.0,0.0,12.0,5.0,-10.0,0.0,0.0,0.0,,0.0,150.0,127.0,110.0,787.0,4,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,429.27,17.0
2024,2,18,7,2024-02-18,OO,GRB,"Green Bay, WI",WI,ORD,"Chicago, IL",IL,-7.0,0.0,0.0,17.0,17.0,-9.0,0.0,0.0,0.0,,0.0,76.0,74.0,40.0,173.0,1,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,259.5,34.0
2024,1,3,3,2024-01-03,DL,ORF,"Norfolk, VA",VA,ATL,"Atlanta, GA",GA,-12.0,0.0,0.0,12.0,4.0,-23.0,0.0,0.0,0.0,,0.0,125.0,114.0,98.0,516.0,3,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,315.92,16.0
2024,3,9,6,2024-03-09,AA,DEN,"Denver, CO",CO,CLT,"Charlotte, NC",NC,-5.0,0.0,0.0,16.0,33.0,13.0,13.0,0.0,0.0,,0.0,183.0,201.0,152.0,1337.0,6,0.0,0.0,0.0,0.0,0.0,February,0,Minor Delay,527.76,49.0
2024,3,31,7,2024-03-31,AA,CLT,"Charlotte, NC",NC,RDU,"Raleigh/Durham, NC",NC,-6.0,0.0,0.0,13.0,4.0,-16.0,0.0,0.0,0.0,,0.0,56.0,46.0,29.0,130.0,1,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,268.97,17.0
2024,2,29,4,2024-02-29,AA,RNO,"Reno, NV",NV,DFW,"Dallas/Fort Worth, TX",TX,-4.0,0.0,0.0,10.0,8.0,-14.0,0.0,0.0,0.0,,0.0,188.0,178.0,160.0,1345.0,6,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,504.38,18.0
2024,4,27,6,2024-04-27,B6,MCO,"Orlando, FL",FL,LGA,"New York, NY",NY,10.0,10.0,0.0,25.0,4.0,7.0,7.0,0.0,0.0,,0.0,160.0,157.0,128.0,950.0,4,0.0,0.0,0.0,0.0,0.0,February,0,Minor Delay,445.31,29.0
2024,4,21,7,2024-04-21,OH,DCA,"Washington, DC",VA,CAE,"Columbia, SC",SC,-10.0,0.0,0.0,22.0,4.0,-6.0,0.0,0.0,0.0,,0.0,93.0,97.0,71.0,408.0,2,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,344.79,26.0
2024,3,21,4,2024-03-21,UA,IAH,"Houston, TX",TX,DCA,"Washington, DC",VA,13.0,13.0,0.0,11.0,6.0,-3.0,0.0,0.0,0.0,,0.0,174.0,158.0,141.0,1208.0,5,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,514.04,17.0
2024,3,5,2,2024-03-05,UA,ORD,"Chicago, IL",IL,MCO,"Orlando, FL",FL,-5.0,0.0,0.0,20.0,4.0,-9.0,0.0,0.0,0.0,,0.0,168.0,164.0,140.0,1005.0,5,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,430.71,24.0
